time,open,high,low,close,vol,%,id,timestamp
14.38261538,15.65295646,14.22726294,14.80546466,45290.88770636,2.96,264,2011-07-10 00:00:00,
14.90234374,15.17033367,13.89996315,14.22412356,49185.977795499995,-3.93,265,2011-07-11 00:00:00,
14.208674300000002,14.72395978,13.96083723,14.0151345,26393.41812069,-1.47,266,2011-07-12 00:00:00,
14.02938056,14.68042835,13.930019400000003,13.95063457,10382.47484505,-0.46,267,2011-07-13 00:00:00,
13.970004999999999,14.67832053,13.79899413,13.99538279,17712.43933293,0.32,268,2011-07-14 00:00:00,
14.02142765,14.17962715,13.63941484,13.81,24845.98685435,-1.32,269,2011-07-15 00:00:00,
13.80719296,14.42209502,13.51848411,13.71911087,17325.20356077,-0.66,270,2011-07-16 00:00:00,
13.71927019,13.74528979,13.02696621,13.16947374,34433.17183413,-4.01,271,2011-07-17 00:00:00,
13.15952456,13.86426459,12.51293329,13.32205868,75949.60884162,1.16,272,2011-07-18 00:00:00,
13.54828604,14.63001635,13.50527787,13.83725908,67591.13179539,3.87,273,2011-07-19 00:00:00,
13.86972345,13.98894456,13.45476811,13.72993412,23229.96839685,-0.78,274,2011-07-20 00:00:00,
13.69904264,13.749531900000001,13.44137675,13.61957797,25048.70810104,-0.8,275,2011-07-21 00:00:00,
13.60452797,13.77535418,13.48381589,13.69542,15214.11750073,0.56,276,2011-07-22 00:00:00,
13.66283269,13.74447157,13.52192632,13.68011428,22507.88296683,-0.11,277,2011-07-23 00:00:00,
13.70439929,14.0532761,12.87560836,13.98000696,26658.45731996,2.19,278,2011-07-24 00:00:00,
13.974115099999999,14.43913996,13.39284049,13.98542063,30768.58102101,0.04,279,2011-07-25 00:00:00,
13.96043737,14.05036456,13.65983442,13.88041313,16891.79842394,-0.75,280,2011-07-26 00:00:00,
13.88044428,14.11683832,13.812915700000001,13.88660891,11570.57979894,0.04,281,2011-07-27 00:00:00,
13.75455365,13.91362655,13.31349848,13.4778461,32821.30018133,-2.94,282,2011-07-28 00:00:00,
13.49243629,13.69219654,13.35023332,13.51408665,7318.02935461,0.27,283,2011-07-29 00:00:00,
13.51822596,13.81940102,13.45071,13.53302887,6144.61464906,0.14,284,2011-07-30 00:00:00,
13.53199907,14.88239349,12.88880483,13.37637516,45856.12793759,-1.16,285,2011-07-31 00:00:00,
13.3503,13.73751644,12.87564444,13.09626364,21824.17319095,-2.09,286,2011-08-01 00:00:00,
